decay_fn,epsilon_min,epsilon_max,epsilon_decay,alpha,beta,delta,reward_discount,mem_size,batch_size,episodes,reward,max_score,action_space,qrtm_n_clauses,T,s,wins,win_ratio,run_date,bin_length,incremental,weighted_clauses,binarizer
SEDF,0,0,0,0.5,0.2,0.2,1,10000,30,2000,1,200,2,400,200,2.75,0,0.0,20201013_115256,16,TRUE,FALSE,G
SEDF,0,0,0,0.5,0.2,0.2,1,10000,30,2000,1,200,2,400,200,2.75,0,0.0,20201013_131742,16,TRUE,FALSE,G
SEDF,0,0,0,0.5,0.2,0.2,1,10000,30,2000,1,200,2,200,100,2.75,0,0.0,20201013_171835,16,TRUE,FALSE,G
SEDF,0,0,0,0.5,0.2,0.2,1,10000,50,2000,1,200,2,200,100,2.75,0,0.0,20201014_114034,16,TRUE,FALSE,G
SEDF,0,0,0,0.5,0.2,0.2,1,10000,50,2000,1,200,2,200,100,2.75,0,0.0,20201014_122736,16,TRUE,FALSE,B
SEDF,0,0,0,0.5,0.2,0.2,1,10000,50,2000,1,200,2,200,100,2.75,0,0.0,20201014_131208,16,TRUE,TRUE,B
SEDF,0,0,0,0.5,0.2,0.2,1,10000,50,2000,1,200,2,200,100,2.75,0,0.0,20201014_135433,16,TRUE,TRUE,G
SEDF,0,0,0,0.5,0.2,0.2,1,10000,50,2000,1,200,2,400,200,2.75,0,0.0,20201014_175059,16,TRUE,TRUE,G
SEDF,0,0,0,0.5,0.2,0.2,1,10000,50,2000,1,200,2,400,200,2.75,0,0.0,20201014_185400,16,TRUE,TRUE,B
SEDF,0,0,0,0.5,0.2,0.2,1,10000,25,2000,1,200,2,200,100,2.75,0,0.0,20201014_194632,16,TRUE,TRUE,B
SEDF,0,0,0,0.5,0.2,0.2,1,10000,25,2000,1,200,2,200,100,2.75,0,0.0,20201014_212111,16,TRUE,FALSE,B
SEDF,0,0,0,0.5,0.2,0.2,1,10000,25,2000,1,200,2,2000,1000,2.75,0,0.0,20201014_215027,16,TRUE,FALSE,B
SEDF,0,0,0,0.5,0.2,0.2,1,10000,25,2000,1,200,2,2000,1000,2.75,0,0.0,20201014_231845,16,TRUE,FALSE,G
SEDF,0,0,0,0.5,0.2,0.2,1,10000,25,300,1,200,2,2000,1000,2.75,0,0.0,20201015_004508,16,TRUE,TRUE,G
SEDF,0,0,0,0.5,0.2,0.2,1,10000,100,300,1,200,2,2000,1000,2.75,0,0.0,20201015_095846,16,TRUE,TRUE,G
SEDF,0,0,0,0.5,0.2,0.2,1,10000,100,300,1,200,2,20,10,2.75,0,0.0,20201015_105931,16,TRUE,TRUE,G
SEDF,0,0,0,0.5,0.2,0.2,1,10000,100,300,1,200,2,20,10,2.75,0,0.0,20201015_111110,16,TRUE,TRUE,B
SEDF,0,0,0,0.5,0.2,0.2,1,10000,100,300,1,200,2,20,10,2.75,0,0.0,20201015_121805,4,TRUE,TRUE,B
SEDF,0,0,0,0.5,0.2,0.2,1,10000,100,300,1,200,2,4,2,2.75,0,0.0,20201015_122832,4,TRUE,TRUE,G
SEDF,0,0,0,0.5,0.2,0.2,1,10000,100,300,1,200,2,400,200,2.75,0,0.0,20201015_123607,32,TRUE,TRUE,G
SEDF,0,0,0,0.5,0.2,0.2,1,10000,100,300,1,200,2,400,200,2.75,0,0.0,20201015_125056,32,TRUE,FALSE,B
SEDF,0,0,0,0.5,0.2,0.2,1,10000,100,300,1,200,2,400,200,2.75,0,0.0,20201015_132147,32,TRUE,FALSE,G
SEDF,0,0,0,0.5,0.2,0.2,1,10000,100,300,1,200,2,400,200,2.75,0,0.0,20201015_133617,64,TRUE,FALSE,G
SEDF,0,0,0,0.5,0.2,0.2,1,10000,100,300,1,200,2,400,200,2.75,0,0.0,20201015_134940,8,TRUE,FALSE,G
SEDF,0,0,0,0.5,0.2,0.2,1,10000,10,300,1,200,2,400,200,2.75,0,0.0,20201015_161920,16,TRUE,TRUE,G
SEDF,0,0,0,0.5,0.2,0.2,1,10000,10,300,1,200,2,400,200,2.75,0,0.0,20201018_182742,16,TRUE,FALSE,G
SEDF,0,0,0,0.3,0.1,0.01,1,10000,10,10000,1,200,2,4000,2000,2.75,1,0.0001,20201018_191537,2,TRUE,FALSE,S
SEDF,0,0,0,0.3,0.1,0.1,1,10000,10,300,1,200,2,4000,2000,2.75,0,0.0,20201019_103942,2,TRUE,FALSE,S
SEDF,0,0,0,0.3,0.1,0.01,1,10000,10,300,1,200,2,4000,2000,2.75,0,0.0,20201019_110441,2,TRUE,FALSE,S
SEDF,0,0,0,0.3,0.1,0.09,1,10000,10,300,1,200,2,4000,2000,2.75,0,0.0,20201019_112514,2,TRUE,FALSE,S
SEDF,0,0,0,0.3,0.1,0.09,1,10000,10,300,1,200,2,4000,2000,2.75,0,0.0,20201019_134758,4,TRUE,FALSE,Q
SEDF,0,0,0,0.3,0.1,0.09,1,10000,10,1000,1,200,2,800,400,2.75,0,0.0,20201019_143431,4,TRUE,FALSE,Q
SEDF,0,0,0,0.5,0.2,0.2,1,10000,10,1000,1,200,2,4000,2000,2.75,1,1,20201019_145252,4,TRUE,FALSE,Q
SEDF,0,0,0,0.5,0.2,0.2,1,10000,25,1000,1,200,2,4000,2000,2.75,0,0.0,20201019_152413,4,TRUE,FALSE,Q
SEDF,0,0,0,0.5,0.2,0.2,1,10000,25,1000,1,200,2,4000,2000,2.75,0,0.0,20201019_162658,4,TRUE,TRUE,Q
SEDF,0,0,0,0.5,0.2,0.2,1,10000,25,300,1,200,2,4000,2000,2.75,0,0.0,20201021_113706,16,True,True,U
EDF,0.1,1.0,0.99,0,0,0,1,10000,25,300,1,200,2,4000,2000,2.75,0,0.0,20201021_120114,16,True,False,U
SEDF,0,0,0,0.5,0.2,0.2,1,10000,25,300,1,200,2,4000,2000,2.75,0,0.0,20201021_123104,16,True,False,U
SEDF,0,0,0,0.5,0.2,0.2,1,10000,25,1000,1,200,2,4000,2000,2.75,0,0.0,20201021_131637,16,True,False,U
SEDF,0,0,0,0.5,0.2,0.2,1,10000,25,1000,1,200,2,4000,2000,2.75,0,0.0,20201021_143626,4,True,False,U
SEDF,0,0,0,0.5,0.2,0.2,1,10000,25,500,1,200,2,40000,20000,2.75,0,0.0,20201021_155047,4,True,False,U
